10,-0.9657590653,0.0342409347
20,-0.9827754720,0.0172245280
30,-0.9884938403,0.0115061597
40,-0.9913617010,0.0086382990
50,-0.9930851945,0.0069148055
60,-0.9942353474,0.0057646526
70,-0.9950574520,0.0049425480
80,-0.9956743405,0.0043256595
90,-0.9961543263,0.0038456737
100,-0.9965384307,0.0034615693
110,-0.9968527745,0.0031472255
120,-0.9971147803,0.0028852197
130,-0.9973365148,0.0026634852
140,-0.9975266002,0.0024733998
150,-0.9976913612,0.0023086388
160,-0.9978355427,0.0021644573
170,-0.9979627736,0.0020372264
180,-0.9980758772,0.0019241228
190,-0.9981770827,0.0018229173
200,-0.9982681737,0.0017318263
