6,0.05,-0.9681145614,0.0318854386
6,0.10,-0.9785768397,0.0214231603
6,0.15,-0.9818585359,0.0181414641
6,0.20,-0.9823973280,0.0176026720
6,0.25,-0.9816178389,0.0183821611
6,0.30,-0.9801153191,0.0198846809
6,0.35,-0.9781798117,0.0218201883
6,0.40,-0.9759682903,0.0240317097
6,0.45,-0.9735725659,0.0264274341
6,0.50,-0.9710496668,0.0289503332
6,0.55,-0.9684367649,0.0315632351
6,0.60,-0.9657590653,0.0342409347
7,0.05,-0.9527125388,0.0472874612
7,0.10,-0.9693874788,0.0306125212
7,0.15,-0.9764514619,0.0235485381
7,0.20,-0.9794990150,0.0205009850
7,0.25,-0.9804993643,0.0195006357
7,0.30,-0.9803311582,0.0196688418
7,0.35,-0.9794435427,0.0205564573
7,0.40,-0.9780883493,0.0219116507
7,0.45,-0.9764167918,0.0235832082
7,0.50,-0.9745246593,0.0254753407
7,0.55,-0.9724753152,0.0275246848
7,0.60,-0.9703122045,0.0296877955
8,0.05,-0.9185535162,0.0814464838
8,0.10,-0.9464614404,0.0535385596
8,0.15,-0.9609569636,0.0390430364
8,0.20,-0.9691270462,0.0308729538
8,0.25,-0.9737750051,0.0262249949
8,0.30,-0.9762747957,0.0237252043
8,0.35,-0.9773840965,0.0226159035
8,0.40,-0.9775545728,0.0224454272
8,0.45,-0.9770711717,0.0229288283
8,0.50,-0.9761217219,0.0238782781
8,0.55,-0.9748344969,0.0251655031
8,0.60,-0.9732997176,0.0267002824
9,0.05,-0.8100260721,0.1899739279
9,0.10,-0.8645123957,0.1354876043
9,0.15,-0.8992463288,0.1007536712
9,0.20,-0.9229492530,0.0770507470
9,0.25,-0.9395777766,0.0604222234
9,0.30,-0.9513416398,0.0486583602
9,0.35,-0.9596174760,0.0403825240
9,0.40,-0.9653236021,0.0346763979
9,0.45,-0.9691020925,0.0308979075
9,0.50,-0.9714175553,0.0285824447
9,0.55,-0.9726150844,0.0273849156
9,0.60,-0.9729563093,0.0270436907
